Date,Symbol,BuyPrice,AlgoScore,Conviction,MaxReturn_5D_Pct,MaxReturn_10D_Pct,MaxReturn_15D_Pct,CloseReturn_15D_Pct,IsWin
2026-04-29,ONGC,301.40,71,66.13,2.01,2.01,2.01,-1.03,NO
2026-04-29,SUNPHARMA,1778.70,64,58.47,4.45,6.02,7.75,5.71,YES
2026-04-29,CUMMINSIND,5288.00,64,60.7,1.28,3.45,3.45,2.11,NO
2026-04-29,HINDALCO,1067.20,63,73.65,0.61,1.42,3.54,1.71,NO
2026-04-30,CUMMINSIND,5266.40,67,62.02,2.99,3.88,3.88,2.35,NO
2026-05-04,COALINDIA,479.95,67,53.43,0.01,0.01,0.01,-4.57,NO
2026-05-04,CUMMINSIND,5289.00,67,53.77,3.43,3.43,3.43,1.76,NO
2026-05-07,CUMMINSIND,5403.00,72,53.48,1.25,1.25,12.88,11.56,YES
2026-05-07,GRASIM,2960.60,66,53.69,1.58,7.41,8.00,7.07,YES
2026-05-07,NESTLEIND,1476.00,64,56.29,1.50,1.50,1.50,-3.29,NO
2026-05-07,TVSMOTOR,3706.70,61,50.08,0.32,0.32,0.32,-8.69,NO
2026-05-15,DRREDDY,1336.70,67,58.05,0.62,0.76,0.76,-4.38,NO
2026-05-15,CUMMINSIND,5392.00,66,57.49,1.15,13.13,13.13,7.27,YES
2026-05-15,SUNPHARMA,1878.20,64,59.21,2.04,2.04,2.04,-5.11,NO
2026-05-18,SUNPHARMA,1905.80,72,61.68,0.57,0.57,0.57,-6.49,NO
2026-05-18,DRREDDY,1331.20,67,54.45,1.04,1.17,1.17,-3.98,NO
2026-05-18,CUMMINSIND,5298.50,63,58.07,2.93,15.13,15.13,9.16,YES
2026-05-19,DIVISLAB,6912.00,69,53.39,0.70,0.70,0.70,-5.66,NO
2026-05-21,INDUSINDBK,899.95,72,56.94,4.43,4.47,4.47,-1.78,NO
